HAPI_ID_taxon,IPNI_ID,scientificNamePOW,scientificNameBISH
HAPI-ID-taxon-fd577a5219b628b4e23360fdbd37fd68,urn:lsid:ipni.org:names:519057-1,Spartium junceum,Spartium junceum
HAPI-ID-taxon-eaab1fcfb083e85b299bac5355772633,urn:lsid:ipni.org:names:1016392-2,Linaria purpurea,Linaria purpurea
HAPI-ID-taxon-1c2119de599bf9beb11f7cec378fa6d2,urn:lsid:ipni.org:names:185784-2,Paulownia tomentosa,Paulownia tomentosa
HAPI-ID-taxon-58042c3d14f3840586cba843551e58ae,urn:lsid:ipni.org:names:60430582-2,Euploca procumbens,Heliotropium procumbens var. depressum
HAPI-ID-taxon-20eb6438be36f4989414d8103a16595b,urn:lsid:ipni.org:names:83051-1,Ilex aquifolium,Ilex aquifolium
HAPI-ID-taxon-89769cd5cda1ad661f8af38115c28cad,urn:lsid:ipni.org:names:77131776-1,Vachellia robusta,Acacia robusta subsp. clavigera
